,reviews
409,"Not Verified |  This has been the worst experience I've ever had with an airline, so many delays. Now I'm on a 2 hour delay from Dallas to Indianapolis and I won't get home until after midnight - unacceptable."
410,"Not Verified |  Continuing saga. After a three plus hour delay at John Wayne Airport and a thirty-six minute flight we get to spend another three hour plus wait in the McCarran airport since the delay caused us to miss our flight to Reno. They assigned us to group C boarding yet we had paid the upgrade to A boarding. When questioned they just said they'll refund our money. A lousy way to end a family trip to Disneyland. With the delay to fly down and back we could have driven and saved the sore arse, back and frustration. JSX or AHA here we come."
411,"✅ Trip Verified |  I have never had such a terrible experience. Multiple delays, missed connections and rude staff. After paying for early boarding, we were bumped down to the C boarding group due to a three hour delay causing us to miss our connection. We phoned Southwest from the airport and they refused to help us. We even asked if we could pay more to be part of group A-15. Due to Southwest issues, I was not able to even sit with my husband. As they say at Southwest “C is for the center seat”. We will never fly Southwest again. We could have driven in half the time it took us to fly. This was not a budget flight paying $450 each for for the trip. Never again!"
412,Not Verified |  I've flown this airline three times and each time there has been a delay of two to three hours each. Often for no reason of why. I've no problem with the crew but have grievous trepidations about the airline organization itself. They claim low cost which is true but they fail to live up to any form of arriving or departing on time. This will be an airline of last resort. Fly at your own risk especially if there is a connecting flight.
413,"✅ Trip Verified |  As I am writing the review now, when my flight is supposed to be already in air and should have been reaching Nashville in an hour. But, I am still sitting with full house flight still at LaGuardia since 6:55pm. And the pilot is waiting for the gas in the flight as we speak! This is very unprofessional. If someone actually have an emergency, I would not suggest Southwest Airlines to anyone. "
414,"Not Verified |  I called customer service before my flight because I was nervous about traveling with my wedding dress. She assured me I could just ask for help from the flight attendants with my dress to make sure it doesn’t get squished in the overhead bin. When I boarded, I asked the flight attendant at the front for help and he laughed at me and told me there’s nothing they can do to help me, and then when I got by the seat I chose, I asked another flight attendant for help and she said the same thing. Horrible experience. They didn’t even act like they cared about getting my expensive wedding dress to my wedding safely. I’m very annoyed and won’t be flying with them again."
415,"✅ Trip Verified |  The lady announced for active duty service member to board along with handicap personnel and when I went to board the other lady stated that I cannot board as an active duty service member unless I'm in uniform. She stated ""I already told you you cannot board active duty military if you are not in uniform"". The Navy is not even allowed to travel I'm any uniform but dress uniform via commercial plane. She was very rude and disrespectful, she rolled her eyes and said under her breath something about ""privileged""."
416,"Not Verified |  I fly domestically and internationally a great deal and use Southwest to get from Sacramento to LAX for international connections and to Orange County to visit family. One of the flight attendants from Sacramento to Burbank was rude and dismissive and actually embarrassed one traveler in front of the rest of us. At Burbank today on the flight back to Sacramento, I went to the counter to pay for a better seating position and the attendant was rude and dismissive. Is this a new policy on the part of Southwest? I have been flying for 65 years all over the world and most other airlines go out of their way to be kind, welcoming and make your journey the most positive experience possible. Why not Southwest?"
417,"Not Verified |  Absolutely the worst experience I have ever had flying! After about an hour on route they tell us there is an electrical issue with the plane so we turn back around! Sounds harmless yet already very much inconvenient! Afterwards they take an additional 3 hours to rebook us on another flight that took another 2 hours to get ""gassed"", then proceeded to tell me that if I miss my connecting flight it is my fault! I will never fly with Southwest again! "
418,"✅ Trip Verified | Never have I ever been so poorly treated by Southwest Airlines. My husband and myself were supposed to leave Las Vegas headed back to Indianapolis on Monday Nov 1st at 6am. Instead we got a late email at 7pm October 30, informing us that are flight is cancelled and we won’t be able to fly out until the next day at 9.40 with a layover. Southwest refused to accommodate us with a hotel, food nor a different flight to a city close to Indianapolis. We had just found out we lost our grandmother and couldn’t get home. Instead they offered a 100 love flight voucher as if that would cover another night at the Aria or food and drinks for another full day stay. We had to miss an extra day of work and had to pay an extra day of child care because we had no other way of getting to our children. No way of getting to our family when they needed us the most. Southwest left us with no options and they didn’t care. The service coordinators were unhelpful, I’ve never been so poorly treated in my life. I’d never recommend anyone to fly them ever again. You all should be a ashamed of yourselves. "
419,"Not Verified |  SWA used to be a “cool”, fun airline. On time performance, top notch flight attendants, good planes. Whatever it is that has happened in the past year or so, the service is worse than UA and AA. The flight attendants are very surly. On time device is miserable and the planes are looking very tired. I used to gladly fly SWA - now it has become my last resort."
420,"Not Verified |  Flew into Denver from Dallas, headed to Reno. For the second time in a row the flight was changed to another gate. This time the flight was delayed due to awaiting another aircraft to arrive then waiting another half hour for baggage to arrive from another flight. I made it home one hour late due to SW taking care of 5 customers instead of the others on the full flight. Bye SW. I'm going with American next flight. Choosing dollars over customers is not my type of business to do business."
421,"✅ Trip Verified |  Southwest has been horrible. For work, I flew from Las Vegas to Dallas for a connecting flight and was suppose to fly to Tampa. The connecting flight got canceled due to ""weather"" which Southwest lied. I was stuck in Dallas airport for two days without any luggage. Southwest could not get me back to Tampa so I had to fly to Atlanta and rent a car for $569.00 to drive back to Tampa. In the process, my Macbook screen was shattered by Southwest and it was in my luggage. Southwest denied the claim because it was past the four hours and they do not do claims on ""electronic equipment"". I couldn't report the damage within four hours because my luggage made it to Tampa without me since Southwest could not get me home. On top of everything, my zipper was broken, lock cut off my suite case and laptop screen broken. Southwest maintained it was ""weather related"" even though no other airline canceled their flights. This trip with Southwest has caused many issues and I will make sure my organization will not use them again."
422,"Not Verified |  Reno-Los Angeles via San Jose, Los Angeles-Reno. As always Southwest is great flying out of Reno. On time and friendly service. Two of the three flights were on a 737-700 but one leg had the 737-800 max. I really liked the max. For the most part almost new, very clean and good leg space. The flights were pretty uneventful which is fine with me. Standard beverage service and bag of pretzels. The return flight out of Los Angeles was a half hour delayed due to weather so really can't complain about that. No beverage service on that flight as turbulence was predicted because of flying through a storm but it never really materialized. Had my own drink and snacks that I brought so no problem. All in all Southwest always delivers when flying in and out of Reno."
423,"Not Verified |  When Southwest Airlines first came out with the early bird special to purchase for early check-in, I thought it was a great idea. However, it sucks or is a scam. Seven times out of seven, I got in the worse boarding positions; only the very first time was I in ""A"" boarding category. My boarding positions were as follows (when I used the early bird check-in): A36, B15, B22, C1, B7, C10, B30. I will no longer purchase the early bird special. as it (clearly) does not check you in early for good boarding positions. Oh, as a side note, the last 3 check-ins I did without the early bird special, when I did it myself, my boarding positions were: A5, A8, A12. In case nobody knows, seat are not assigned, just boarding positions. So when they announce that they are boarding ""A"" passengers to board the plane, then A1-A36 passengers enter the plane first and get the pick of the seat, then B1-B36 and then C1-36. So you can imagine how bad the seats left over were, if you're in the ""B"" and especially the ""C' categories. Don't buy the early bird special, it's not worth the extra money, especially when they cannot even guarantee that you'll be in the ""A"" category at all. I would recommend the airline because it's usually inexpensive, but I would not recommend purchasing the early bird check-in service, because it sucks, or is a scam for additional for nothing!"
424,Not Verified |  My entire plan was derailed because of airline staffing and delays. In the end I was instead flown to LAX and unable to secure transportation without spending 4xs what I had planned to because of the inconvenience. I believe it's fair to have the expectation that companies provide the service that you purchase on time. Safety issues I might understand but poor planning isn't acceptable. Use a different carrier ... bags fly free but you and your bags may to tardy for the party.
425,"✅ Trip Verified |  Worst experience on an airplane ever. I had been flying Southwest loyally for over 10 years. Today we had a flight from Hartford to Baltimore get delayed. In Baltimore I had a connecting flight to Sarasota. I asked the gate attendant if we would be in jeopardy of missing our connection to Sarasota. She said no that flight was also delayed. We arrived in the A wing , ran frantically to the B wing to make our connection. Myself and over 10 other passengers found the door to board closed, plane still there and we were denied access to the plane. Without our knowledge, Southwest changed our flights to a later flight without ever notified us all. They refused to let all of us on the plane that was still sitting there. I paid extra to be in the A group for priority boarding, but my reissued ticket has us in the C group, last people to board. When asked the attendant said it would cost an additional $40. I already paid the $40 on my original ticket and I know from past experience that whenever I changed my reservation I never lost my A status. Because Southwest made the changes, that did not happen. I will never fly them again. Thank you Southwest for sticking a loyal customer in the back of the plane. You denied us all access to our original flight, delayed our original flight, changed our reservation without our notice and stuck us in the back of the plane. Keep your travel voucher Southwest. You mistreated many customers today. I will try your new competitor Avelo which is actually cheaper or Jet Blue from now on. I am also going to cancel my Southwest credit card as you do not value my time and me as a customer."
426,"✅ Trip Verified |  I have now contacted Southwest 3 times with no satisfaction. Five members of my family were stranded in Chicago on their way to Florida due to canceled flights. After 3 days a family member drove to Chicago, 4 hours away to pick them up. Their luggage was returned 10 days later. The compensation for that was 1 $150 voucher. In a response to the canceled flights, the response was basically, it’s not our problem. They were out over $1000 in hotel and food bills plus the cost of loss time for someone to pick them up. Southwest sent a $150 voucher. I guess 5 people are supposed to split that. I am very disappointed with Southwest and their lack of consideration for the people who make this airplane profitable!"
427,"✅ Trip Verified |  Terrible business model, if you reserve a flight six months in advance then cancel within a week you cannot get a refund, you are instead offered a credit which can be used to purchase another flight through Southwest Airlines, but only within the next 12 months. You are required to pay a higher price for a ticket to get a refund just in case you need to cancel the flight to actually get your money back. "
428,"Not Verified |  Due to Covid nonsense when we booked a flight in January 2020 we had to cancel. We are getting married Nov 19 2021 and wanted to use our credit to fly for our honeymoon leaving Nov 23rd 2021 and the customer service is so unfair, that she states it expires on Nov 15th and that we can do our honeymoon before the wedding! So basically there’s nothing they can do for us."
429,"Not Verified |  I have flown Southwest for several years but currently looking at other options. The service, dependability, and customer service of the past has dramatically changed and not for the better. I just returned yesterday on a flight from Texas. It is not possible as evidenced by passengers exiting the flight and the time at which passengers are then boarded for cleaning and sanitizing to be completed per their stated protocol. That, and the discarded wrappers in the seat pockets, as well as a sticky substance, splashed on the back of the seat in front of me further validates this. In addition, I have definitely had it with checking in at the very moment possible only to board and find passengers who've already boarded saving seats for others further back in the boarding process, while flight attendants who are very obviously aware do not enforce their own boarding practice. I am extremely weary of being treated like cattle. Most airlines have already eliminated the change fees, the only other perk that Southwest offers that others do not is 2 free checked bags, but even that is barely worth it anymore. I expect that other airlines will soon follow suit, and when that happens, it will be the end of Southwest if they do not improve their current practices. I applied for, and have received the chase sapphire card which will allow me to accrue points that can be used for any of the airlines. In the meantime, I am looking at baggage shipping services as a way to deal with the baggage fees."
430,"✅ Trip Verified | This is to the actual employees who were there and not your CEO who I find a big fat liar! Southwest employees, I know you had some problems weekend before last. I just want to say that my flights on the 15th from Reno to LAX and 16th from LAX to El Paso went so wonderfully. I was traveling with my 1 yr old granddaughter. You guys made it so much easier with her. We were running late due to extra time at security and you actually held up for us while we ran across the terminal. Your staff were amazing and so very nice! Thank you for that! I know times aren’t easy and your working while fighting for your own rights and freedoms, so I just want to say thank you for all your help. We will see you on our flights back the 1st and 2nd of November!"
431,✅ Trip Verified |  Still sitting in the airplane 2 hours after boarding. First hold up was supposedly because extra maintenance checks had to be done for over an clean flights. Second hold up was for weight and balance issues. They were literally moving 5 people around the plane and there were only 10 empty seats total. Then as we are pushing back from the gate the pilot comes on and says he is out of hours. We were 10 ft from the gate and he pulled back up and got off. 20 minutes later a new captain comes on and basically has to start all over. Just got word that they were topping off the gas. How is it you have to top off the gas if we were pushing from the gate 45 minutes ago. Southwest really needs to look at their management and processes. This is definitely a 1 star flight.
432,"✅ Trip Verified |  I cannot believe I trusted Southwest with a short flight. I am beyond frustrated at being delayed twice and hearing multiple people also have experienced this multiple times from Southwest. As an airline company, the one thing to get right is being able to adhere to scheduled times. There are many people who rely on flight times for all sorts of events. I will never fly Southwest again."
433,"✅ Trip Verified |  I’ll never fly Southwest again. Booked a flight from Austin to Ontario and had a connection flight in Phoenix. The flight from Austin to Phoenix was delayed an hour and a half. Southwest then rebooked my flight from Phoenix to Ontario on another flight since the delay of the first flight was set to have me miss my original plane out of Phoenix. My original plane I was in group A. Southwest rebooked me and put me in group C as the last person on the plane. I mentioned that I was forced to this plane due to the airline’s own delay and was originally in group A, asking if I could get the same group for the new flight. The airline rep told me I “could if I pay for it.” What terrible customer service. Thanks for the delayed flight and then having me be the last person on the plane with the worst choice in seating on a full flight. You guys screwed up, yet I’m the one that gets the short end of the stick. Didn’t offer any kind of compensation/voucher, was rude, and Not trying to make right on their mistake. I will never use Southwest again. Worst airline ever."
434,"✅ Trip Verified | I purchased my ticket the night before my flight (San Diego to Phoenix). After all the cancellations I felt this was a bad idea, but it’s a 1 hour flight. What could go wrong? Multiple delays. Insane. Southwest wants to keep pocketing money and cancelling flights. Total joke. Will never fly with these clowns again. Thanks for allowing me to be late for my sisters wedding, Southwest. Especially when I could have just made the 5hr drive."
435,"✅ Trip Verified | 3 for 3 in last two months with being late on departure! What used to be a reputable airline is becoming a joke! I booked my flight for Christmas, and it wasn't on Southwest! They are right up there with Spirit Airlines."
436,"Not Verified |  First of all, they cancelled my flight at the last minute, then rescheduled me to a flight with little to no time to react...a flight that took me from Dallas to Nashville to Denver, arriving at 11:45 pm. Ridiculous. We are die hard SWA customers, but we have just about had it. Get your act together SWA!"
437,"Not Verified |  Horrible experience, canceled flight and told me to change my reservation. Attempted, but no flights available. Attempted to call and put on hold for almost 4 hours. Finally hung up and drove rental to destination."
438,"Not Verified |  I have been a long-time customer of Southwest Airlines, beyond satisfied, however, this latest experience was not pleasing at all. I made a reservation to visit my daughter in Los Angeles, CA for the 1st of September (Wednesday). She called me and said not come as she had tested positive for COVID. I immediately cancelled my reservations (Tuesday August 31st) and received a notification that they had been cancelled and the funds would remain for any future flights. That was 8/31/21. I got another email a few days later stating that my reservation had not been done in a timely manner, and that my funds were taken and I would not get a refund and/or credit. I called SWA Customer Service to dispute this and was not given any consideration. I’m 70 years old, on a fixed income and was not pleased with the outcome. I would hate to stop flying SWA, however (I‘ve worked in customer service for over 40 years), and would appreciate being given some satisfaction in this matter. "
439,"Not Verified |  We have flown southwest for many years and have been very satisfied with their service in general. Just this past Sunday, oct. 10th we experienced the first cancellation ever. They were able to rescheduled my husband for a flight out the next day at 10:35am. He had a confirmed doctor's appointment and was able to make it. Not only did southwest rebook him and he made the appointment, but the also worke with him during the process and gave him a voucher for the inconvenience. Once again Southwest did their fine job. I just hope they resolve whatever issues they have and continue to fly safe and on time as they have always done."
440,"Not Verified |  This was the second leg of the trip - ORD/DAL/HOU (Flt 29). Full flight with open seating. The flight attendant who was standing at the forward galley as boarding was almost completed started singing - while her voice was/is good, it is not great. After serenading us, she then began to what amounted to a lecture on how we are all blessed and asked to the passengers to respond in the affirmative. In addition, we were told we were all loved, etc. It had the feel and sound of an evangelical Christian bible meeting. Several passengers passengers around me were shaking their heads in disgust while others were yelling ""Praise Jesus"". Unprofessional, insulting and narcissistic for her to think that we would want to hear her sing or preach. In addition, there is no service of any kind on the DAL/HOU/DAL leg. I do not understand why Southwest is popular - this is nothing more than a bus with wings. I will never purchase a ticket on WN or recommend them. I will stick to the legacy carriers such as American, etc."
441,"✅ Trip Verified |  Southwest has canceled my flight two times already. They don't send an email out until midnight. Wait times are crazy. Over 3 hours. Me and my family are stuck in Houston Texas and it has cost us over 1000 just for two days. We had to pay for hotel fees and rental car fees at the last minute due to southwest flight cancelation. We weren't offered any type of accommodations, only to rebook and when we do it gets canceled again at midnight."
442,Not Verified |  Never ever flying Southwest again. They cancelled our flight last minute and we were told they can’t fly us home until two days later. When we asked for a hotel they said “all of our hotels are booked.” I demanded to speak with the manager who took 30 mins to come talk to us and acted like it was a big deal to get us a hotel. This airline refused to give us a credit to fly home today through another airline. We asked if they could fly us to somewhere near our home and they simply said “we don’t have anything.” Worst experience and ruined our vacation. Not only did we have to call off of work but we had to spend extra money for food and ubers.
443,"Not Verified |  We had been waiting in line to board the plane for about 15 minutes, the flight attendants were just standing there telling us nothing about what was going on! I kid you not, while in line to board the plane, they cancelled the flight! While we were in line to get on that flight. Even worse, they had already boarded our luggage on the plane and they wouldn’t un-board it! My family was stuck there for HOURS trying to figure out what to do. We ended up having to go on a train for 12 hours and picking up our luggage the next day from the flight they wouldn’t let us on. They flew the luggage but not the people. Apparently the day before our flight a bunch of air control people quit because of the vaccine requirements. There was no reason they couldn’t have cancelled the flight the day before it was supposed to take off. Worse, they won’t give us a refund! They’re offering us credits but we will never be flying with them again. "
444,"✅ Trip Verified | Southwest has quickly become the worst airline. My last two flights I have booked a non stop flight to Phoenix and both times they have switched my flights to having one or two stops. This particular time I received an email at 1am stating my flight has been canceled for no reason. My wife has been on the phone for more then 9 hrs trying to talk to a representative and still no one has answered. At this time news outlets has stated that due to weather and air traffic control was the issue, so I drive to the airport and asked myself. They stated is was due to staffing issues? Why wouldn't they know that at 9pm when I last checked the flight status? When I talked to the ticket agent I was greeted with condescending answers and a attitude. Thanks again Southwest! So they rescheduled my flight - I now leave Tuesday, I have lost 2 days of my vacation, my rental car, and my time from work. As someone who works with the public my time is limited and for Southwest to show no remorse in their actions to help me. I will never fly Southwest again!"
445,✅ Trip Verified |  Horrible customer service. Flight was canceled twelve hours before flight. No flights for two days! Call and they can’t even pick up the phone. I have been a customer for many years and can now say I will never fly Southwest again. Would not recommend this airline.
446,"✅ Trip Verified |  Worst Airline on the planet, customer service is horrible, rude people. Had me on hold on the phone for almost 4 hours. I’m beyond furious. Never again Southwest Airlines."
447,Not Verified |  Got a text my flight was canceled with a link to reschedule - went to link and no flights available for 2 days. I do not have medication with me for 2 more days. In a hotel where the bill for two more days will be more than the flight. Meanwhile I have been on hold since 1:05 am and it is now 6:04. Never Have I Experienced with such Irresponsibility. Never will I use Southwest Ever Again.
448,"Not Verified |  Return flight scheduled for 10/9/2021 250. App notification flight delay approximately 1hr. Flight was cancelled. Notified to go to ticket counter. Waiting in line at ticket counter notified had to pickup luggage first prior to obtaining new flight, must retrieve my luggage first. So lost my place in line in order to get my luggage. My luggage came off last thus placing me at the end of line. Look on their website and there are no reservations available for the next day. So made reservations for the next day out of another airport. While holding on the phone. Was on hold over 8 hrs. Thought my reservations for the next day were confirmed. They totally changed my reservations to 2 days after confirmation was received. So again I’m on hold and I should be up in a few hours for what I thought was my new reservation. This is horrible customer service. I am so dissatisfied. What a waste of time and money."
449,"Not Verified |  Oct 9, 2021 flight #2451 departing at 5pm got canceled 3hrs before departure time Re-booked for 8:30pm flight# 1729 and 3 hours before departure time they send a message the flight was canceled too! Customer service are the worse. Very unreliable airline. Will never fly Southwest in my life!"
450,"✅ Trip Verified |  We booked a round trip flight between Miami and Denver for our Denver vacation. The only reason we booked Southwest was for the nonstop flights. Both flights were cancelled within 30 minutes of the scheduled takeoff. The Miami to Denver flight was rescheduled with a layover, and the Denver to Miami was simply cancelled. Will never fly Southwest again; will never recommend Southwest. Thankfully they provided us with flight vouchers which we will happily never use. Southwest simply isn’t reliable. Do not book if you actually want to get where you are going."
451,✅ Trip Verified |  Flight from Charleston South Carolina to St. Louis was cancelled at the last minute. Was never told why. The lack of information afterwards was completely unacceptable. Could not get anyone to tell us where to get our luggage as it had already been checked. Finally found our luggage at the carousel with no announcement. Will not fly Southwest again.
452,"Not Verified |  No issues from Jacksonville to Houston Hobby, but upon landing I received a text notification my flight to Oklahoma City has been canceled. Agent explained weather has affected flight coming out of Florida. Strange since I also flew out of Florida. She couldn’t get me into OKC until around 10.30 pm via Denver. My flight was scheduled to be in OKC about 12.30 pm. She could however get me to Tulsa earlier. What? I would be on my own from Tulsa. I had no option but to accepted the OKC via Denver route. At 12.25 pm I received a text notification the Denver flight had been canceled. Good grief! Now I’m on a 9.05 pm flight to OKC. Never an offer for any type of financial consideration or compensation even though I asked if SW would cover the rental car cost in Tulsa to get me to OKC. Pitiful customer service! Today, I would not recommend SW due to their lack of excellent customer service and uncaring attitude of ticket counter rep."
453,"✅ Trip Verified |  What has happened to Southwest? I used to love them and tell everyone to use them. Other than one international flight, I have been 100% loyal to them for 18 years. Now I am furious with them. I will be canceling my SWA credit cards, and they have lost me as a loyal customer. The last 10 flights I have been on have been delayed or canceled. And of course, no concessions for the customer. ""Full Service"" desk had 2 attendants and over 100 customers. Over an hour of waiting and I am not pleased. It's time to find a new carrier."
454,"✅ Trip Verified |  Southwest canceled our flight 14 hours before takeoff. Then re booked us 3 days later! Online site kept giving error to try to rebook. Stayed on hold for 2 hours and then got disconnected. Now all flights full. Had to cancel flights and refund will take at least 30 days. Now having to rent car and drive 22 hours. Will actually cost more with rental, gas, hotel stay, and we lose a day on our house rental plus extra night hotel to come home. Just so very frustrating to have booked flights months ago. Horrible customer service, horrible online process. I will never fly Southwest again!"
455,"✅ Trip Verified |  Southwest counter staff were rude, arrogant and appeared genuinely uninterested in our situation. We arrived at the airport 3 hours prior to departure to find no available airport parking, the shuttle from the Park-n-Fly dropped us at the wrong terminal, and security was severely backed up. We arrived at the gate 10 mins before departure and they had just closed the door. With both of us out of breath from running, my wife pleaded with them to let us board. The “Customer Service Supervisor” (Gate 10) appeared to relish her authority in refusing to open the door and let us board. She then spent a solid 30 minutes booking us on a flight for the following day. I explained that I could see same day flights available via the SW app and only then did she rebook me on a better itinerary. This is the 2nd bad experience on SW in the past 2 months and pre-Covid, I was an A-List flyer on SW. I’m deeply disappointed in what was once America’s best domestic carrier."
456,"Not Verified |  I am an A list passenger with SW. I purchase the business class for quicker boarding, to insure I’m at the front. More and more these days, people are boarding during the pre-board segment I have noticed. This flight, there are 16 people, with 4 wheelchairs amongst them. That's more people than business class. I think SW should be vetting the pre-board people a little closer. Why am I paying the extra $90-130 for business class?"
457,"✅ Trip Verified |  I have been flying a lot as of lately and 9/10 the flights have been delayed! Air conditioning has not been turned on while sitting on a crowded flight, beverages not offered, it is very disappointing. Unfortunately, this is one of the few airlines that flies into the small airport I need to use but I will not fly Southwest if other airlines are an option!!!"
458,"Not Verified |  Late for no reason. Kept changing the departure time and never told us what was going on or why. After boarding we just sat there for 30 min. No announcement - nothing. Baggage staff took their sweet time putting the bags under the plane, had zero sense of urgency. I had an appointment that I had over an hour and a half of leeway to get to. Thanks. I missed it. I will never fly this airline again."
459,"✅ Trip Verified |  I have liked flying Southwest until this trip. Our first suitcase came out open, yes unzipped along with many others where you could see the clothing inside, and ours was also cut in an 'L' shape. I left my husband and daughter while I went to file a claim. No one was in the baggage service area and when I went to enter to call out another SW employee told me not to enter. Showed this SW employee my issue and she told me to wait the lady would 'know' I was there. I asked how she would know as this person had not notified anyone, there was no doorbell or cameras. She replied the lady would just know. A psychic I guess. While waiting my daughter called hysterical as her lacrosse sticks had not come out with her teammates and the conveyor belt had stopped. When we found it that person was rude as well and stated all sticks come out at over-sized baggage and we should have known that. Guess they forgot to tell our team as all the rest of the lacrosse sticks in lacrosse stick bags like hers did and have never before or again come out in over-sized baggage. Hers was the only stick bag to come out at over-sized luggage and only that one time. When the baggage service lady finally showed up, the two SW employees had to converse first about how I was waiting and not happy, making me wait even longer. When she did finally come over she refused, not once, but several times to fill out a ticket on my issue. She said open and cut luggage was not a valid claim. She outright refused to do anything. It gets better folks, I called SW and was being on hold a very long time. Finally, someone gets on the phone listens to my issues and than proceeded to tell me the people were not SW employees, but employees of BWI and I had to make a claim with BWI. When I pointed out all the employees I was calling about all wore SW uniforms she proceeded to enter my complaint about their rude customer service, but told me I had to do my own for the luggage. I did per her instructions. SW responded to the rude complainant with a letter stating they were sorry I was inconvenienced with a delay in my flight and offered me a SW credit. The luggage complaint they noted as complete without any letter, conversation, funds for new luggage or anything. I filed another complaint to comment on this incorrect form letter and the luggage issue to hear nothing from SW as it is now September with no reply."
460,"✅ Trip Verified |  I trusted Southwest until a flight from Love Field to BWI September 16 2021 arriving 11:15 PM. Within five minutes of deplaning I realized I had left my phone on the plane. Unfortunately I had left the secure area so I could not return to Gate A 10 where the plane was located. I was directed by Southwest personnel to go to the baggage claim office to receive assistance. The three workers at baggage claim were admittedly dealing with a disgruntled employee and stated they could not help me at the time because they were ""too busy"". In fact the supervisor reprimanded me for leaving the phone on the plane and claimed it was my own fault for being so stupid. Despite resistance I insisted that a missing item claim be filed at the office before I departed the airport. I waited at baggage claim until 2:00 AM when an employee reportedly searched the plane only to find no cell phone. When I obtained access to my computer at 3:00 AM that morning I searched FIND MY PHONE, to discover my phone located at the Southwest baggage claim. I returned to the Southwest baggage claim the next morning and I showed them on my computer where my phone was located according to FIND MY PHONE. They told me they did not have my phone and that they could not help me. I then went to the police. They accompanied me to the SOUTHWEST baggage claim. He told me to stay outside the office and push my phone to ring on the FIND MY PHONE app, which I did. The police came out of the office and told me that my phone was in the office. When I went into the office to get my phone one employee verbally attacked me with comments such as ""you were the irresponsible one who lost your phone"" . Furthermore they justified themselves that their job was baggage claim, not lost and found? They would not verify to me where or when the phone had been found."
461,"Not Verified |  Southwest cancelled 2 of my flights in the last month just hours prior to the flight leaving. They blame it on weather. United had no trouble taking us as we had to pay through the nose to fly last minute. I used to sing their praises, not any more. Cost me a small fortune. Cancelling their credit card and never flying them again. Use them if you don't need to get where you are on time or when you want. Hopefully the competition will put them out of business."
462,"✅ Trip Verified |  I flew with my 11 year old who is on the spectrum takes ADHD medicine and has anxiety! When a gate attendant allowed us to pre-board, another one, right at the time of entry said we shouldn't be pre-boarding and kind of implied that we are abusing the pre-boarding option! Second time from Seattle to Nashville I bought 3 premium tickets and was among the first 5 to board, then I was told that I am carrying more luggage on myself and should consolidate between my son, my mother, who has shoulder pain! What's the point of paying premium money when you have to take their hassle."
463,"Not Verified |  Terrible. Flew my daughter home for a very short visit. Allowed over an hour between connecting flights. Flight out of Portland was delayed over an hour, and instead of holding the connecting flight for 10 minutes, they made everyone take another flight. Now my daughter has to take two more flights to get here, and will be arriving five hours (maybe) late! That's if the other flights are on time! This has happened too many times with Southwest. I have always loved them, but they have clearly gone way downhill. You can no longer count on leaving or arriving when scheduled. I am canceling my credit card with SW and going to a different airline."
464,✅ Trip Verified |  My flight was supposed to leave out of Gate 12 at 7:40 PM flying tonight from San Diego to Reno. At exactly 710 my flight had not boarded and I went to see what the matter was. Apparently they change the gate to a separate terminal without notifying me. I ran to gate eight and made it there by 7:30 PM on the dot plane was already boarded and they would not let me on the plane. Southwest reps did not display any compassion nor help me find a solution. I feel Southwest could’ve done a better job at resolving the matter. Especially since I arrived at The gate a full 10 minutes before it was even supposed to leave. not fair. 
465,"Not Verified |  I have flown SW for over 10 years faithfully. This trip from Aruba on 9-5-21 was the worst flight attendants ever. None of them looked like they wanted to be at work yesterday. The plane wasn’t even full and they only offered drinks once on a four hour flight. I’m also amazed how many people get early boarding since most of the huge adults walked down the jet way without assistance. As someone who always pays extra to get a A seating assignment it’s not fair to us loyal customers. Do you even have documents from their MD with the reason they need to board before those who pay extra! They should have a MD excuse to get on early, these people were all in one group, knew everyone and traveled together. So can I use my BMI of 2 over normal as a reason to get on first in the front 5 rows? Or maybe my A1C level is slightly elevated or that I have to take Lipitor because my cholesterol is high. A passenger had to notify a flight attendant that someone sitting in an aisle seat wasn’t wearing his mask after she walked past him! Seriously? Something needs to done to those passengers who are lying about their need to board before those who pay extra for early bird seating. Medical need to board early should have to be presented at the gate before they board prior those loyal customers earned a companion pass prior to covid!"
466,"✅ Trip Verified |  Forget every positive experience about the Old Southwest, and erase those high reviews. Those days are over, and it's the end of an era. They should change their name to Scrubwest airline, because there is a high percentage your flight this Fall is going to get scrubbed. It will either get canceled, or they will move it to a new time that is often impossible to meet. If you complain by email, they will offer you $150 on another flight. Southwest apparently thinks ""buying out"" customers will work, completely ignores the reality that many of us have only specific times to fly. Plus, that future flight will probably just be canceled too, so what's the point? The brand name has been destroyed. A web search with a timeline of August 2021 or September 2021 will confirm I'm not alone in this experience, and that it's now common to many Southwest fliers."
467,"Not Verified |  I will never be flying on Southwest again! They forgot to fuel the aircraft my first flight so that delayed me 2 hours which then made me miss my other flight, so instead of giving me the next closest flight. They give me the last flight out. Then when I got into that flight which they already messed all of my plans for the day because I was supposed to land @ 10 now I’m still at the airport all day, the flight I’m about to board has something wrong with the plane so I’m now delayed again, I have a hotel room booked which is pointless know because I won’t be there till 2 am. Overall worse experience flying in my life & I’ve been flying for years. Seats are terrible as well. Do not book this airline, front desk workers are terrible at their job as well!"
